location-id,semantic-place
1010500002,SMUSISL5LOBBY
1010500003,SMUSISL5LOBBY
1010500004,SMUSISL5LOBBY
1010500005,SMUSISL5LOBBY
1010500006,SMUSISL5LOBBY
1010500007,SMUSISL5STUDYAREA1
1010500008,SMUSISL5STUDYAREA1
1010500009,SMUSISL5STUDYAREA1
1010500010,SMUSISL5STUDYAREA1
1010500011,SMUSISL5STUDYAREA1
1010500012,SMUSISL5STUDYAREA1
1010500013,SMUSISL5STUDYAREA1
1010500014,SMUSISL5STUDYAREA1
1010500015,SMUSISL5STUDYAREA1
1010500016,SMUSISL5STUDYAREA1
1010500017,SMUSISL5STUDYAREA1
1010500018,SMUSISL5STUDYAREA1
1010500019,SMUSISL5STUDYAREA1
1010500020,SMUSISL5STUDYAREA1
1010500021,SMUSISL5ACADOFFICE
1010500022,SMUSISL5ACADOFFICE
1010500023,SMUSISL5ACADOFFICE
1010500024,SMUSISL5ACADOFFICE
1010500025,SMUSISL5ACADOFFICE
1010500026,SMUSISL5ACADOFFICE
1010500027,SMUSISL5ACADOFFICE
1010500028,SMUSISL5ACADOFFICE
1010500029,SMUSISL5ACADOFFICE
1010500030,SMUSISL5ACADOFFICE
1010500031,SMUSISL5ACADOFFICE
1010500032,SMUSISL5ACADOFFICE
1010500033,SMUSISL5ACADOFFICE
1010500034,SMUSISL5ACADOFFICE
1010500035,SMUSISL5ACADOFFICE
1010500036,SMUSISL5ACADOFFICE
1010500037,SMUSISL5ACADOFFICE
1010500038,SMUSISL5ACADOFFICE
1010500039,SMUSISL5ACADOFFICE
1010500040,SMUSISL5ACADOFFICE
1010500041,SMUSISL5ACADOFFICE
1010500042,SMUSISL5ACADOFFICE
1010500043,SMUSISL5ACADOFFICE
1010500044,SMUSISL5ACADOFFICE
1010500045,SMUSISL5ACADOFFICE
1010500046,SMUSISL5ACADOFFICE
1010500047,SMUSISL5ACADOFFICE
1010500048,SMUSISL5ACADOFFICE
1010500049,SMUSISL5ACADOFFICE
1010500050,SMUSISL5ACADOFFICE
1010500051,SMUSISL5STUDYAREA2
1010500052,SMUSISL5STUDYAREA2
1010500053,SMUSISL5STUDYAREA2
1010500054,SMUSISL5STUDYAREA2
1010500055,SMUSISL5STUDYAREA2
1010500056,SMUSISL5STUDYAREA2
1010500057,SMUSISL5STUDYAREA2
1010500058,SMUSISL5STUDYAREA2
1010500059,SMUSISL5STUDYAREA2
1010500060,SMUSISL5STUDYAREA2
1010500061,SMUSISL5STUDYAREA2
